"Deeplink";"Produkt-Titel";"Produktbeschreibung";"Produktbeschreibung lang";"Preis (Brutto)";"Preis (Netto)";"Währung";"europäische Artikelnummer EAN";"Anbieter Artikelnummer AAN";"Hersteller";"Hersteller Artikelnummer HAN";"Produktbild-URL";"Vorschaubild-URL";"Produktkategorie";"Versandkosten Allgemein";"Versandkosten Vorkasse";"Versandkosten Nachnahme";"Versandkosten Kreditkarte";"Versandkosten Lastschrift";"Versandkosten Rechnung";"Versandkosten PayPal";"Versandkosten Sofortüberweisung";"Lieferzeit/Verfügbarkeit";"base_price";"unit_pricing_base_measure";"unit_pricing_measure";"ext_Grundpreis";"ext_Inhalt"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fvon-wiesen-x-seckinger-ros-pur-x-johannisbeere%3Fnumber%3D8923030";"Von Wiesen Seckinger Rosé Pure x Johannisbeere Ancestral";"Immer dann, wenn sich zwei unserer innovativen Winzer zusammentun, entstehen Weine, die in jeder ...";"";"14,00";"";"";"4260438921254";"8923030";"Von Wiesen";"VWA SE01";"https://images.vinocentral.de/media/image/e1/3d/8f/bild_von_wiesen_seckinger_rose_pure_x_johannisbeere_ancestral_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 18,67";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fvon-wiesen-apfel-rose-brut%3Fnumber%3D8923033";"Von Wiesen Apfel Rosé Brut 2018";"Für seinen Von Wiesen Apfel Rosé Brut 2018 hat Niko Brandner Äpfel regionaler Streuobstwiesen spo...";"";"15,00";"";"";"4260438921278";"8923033";"Von Wiesen";"VWS AR18";"https://images.vinocentral.de/media/image/9c/3d/7b/bild_von_wiesen_apfel_rose_brut_2018_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 20,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-riehen-le-petit-sauvignon%3Fnumber%3D8938041";"Weingut Riehen Le Petit Sauvignon AOC Basel-Stadt 2018";"Ein Schweizer Sauvignon Blanc unter den Weinen des Markgräfler Weinguts Ziereisen? ? Nein , das i...";"";"39,00";"";"";"";"8938041";"Weingut Riehen";"9102E18";"https://images.vinocentral.de/media/image/b3/a1/76/bild_weingut_riehen_le_petit_sauvignon_aoc_basel_stadt_2018_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 52,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-ziereisen-jaspis-spaetburgunder-10-hoch-4%3Fnumber%3D8938043";"Weingut Ziereisen Jaspis Spätburgunder 10 hoch 4 2017";"Nur noch wenige Flaschen verfügbar.";"";"163,00";"";"";"";"8938043";"Weingut Ziereisen";"";"https://images.vinocentral.de/media/image/3a/b9/10/bild_weingut_ziereisen_jaspis_spaetburgunder_10_hoch_4_2017_1280x1280.jpg";"";"Weine>Rotweine";"0,00";"0,00";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 217,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fventurini-baldini-rubino-del-cerro-lambrusco-rosso%3Fnumber%3D8168004";"Venturini Baldini Rubino del Cerro Lambrusco Spumante Rosso Brut Bio";"Im Jahr 1989, als wir uns noch mit der süßen Lambrusco ?Plörre? von der Tankstelle für die nächst...";"";"14,25";"";"";"";"8168004";"Venturini Baldini";"";"https://images.vinocentral.de/media/image/3c/36/g0/bild_venturini_baldini_rubino_del_cerro_lambrusco_spumante_rosso_brut_bio_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 19,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2F3er-paket-patchwork-3-glaeser-felix-peters%3Fnumber%3DST8000052";"3er-Weinpaket Patchwork bester Lagen zum vinocentral-Livestream 3 Gläser mit Felix Peters";"Das gelingt nicht jedem: Ganz ohne familiären Background ein Weingut zu gründen, das auf Anhieb e...";"";"69,90";"";"";"";"ST8000052";"Livestream Pakete";"";"https://images.vinocentral.de/media/image/c0/5c/97/patchwork_2021_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 31,07";"2.25 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-stein-furmint%3Fnumber%3D8706080";"Weingut Weninger Stein Furmint Bio 2020";"Nur noch wenige Flaschen verfügbar.";"";"24,00";"";"";"";"8706080";"Weingut Weninger ";"";"https://images.vinocentral.de/media/image/36/4d/a2/bild_weingut_weninger_stein_furmint_bio_2020_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 32,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-szuerke-es-feher-mmxx%3Fnumber%3D8706081";"Weingut Weninger Szürke és Fehér MMXX Bio 2020";"Neu eingetroffen. Beschreibung folgt.";"";"16,00";"";"";"";"8706081";"Weingut Weninger ";"";"https://images.vinocentral.de/media/image/33/29/63/bild_weingut_weninger_szuerke_es_feher_mmxx_2020_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 21,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fweingut-weninger-a-glimmer-of-hops%3Fnumber%3D8706082";"Weingut Weninger A Glimmer of Hops Bio 2020";"Mit Wildhopfen aromatisierter Wein. Nur noch wenige Flaschen verfügbar.";"";"15,00";"";"";"";"8706082";"Weingut Weninger ";"";"https://images.vinocentral.de/media/image/2e/68/59/bild_weingut_weninger_a_glimmer_of_hops_2020_1280x1280.jpg";"";"Weine>Roséweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 30,00";"0.5 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fseckinger-phips-fizz-bio%3Fnumber%3D8247017";"Seckinger Phips Fizz Bio 2019";"Nur noch wenige Flaschen verfügbar.";"";"18,00";"";"";"4260590575388";"8247017";"Seckinger";"";"https://images.vinocentral.de/media/image/d3/97/a0/bild_seckinger_phips_fizz_2019_1280x1280.jpg";"";"Weine>Spumante & Co.";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 24,00";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fseckinger-riesling-gottsacker-bio-2020%3Fnumber%3D8247018";"Seckinger Riesling Gottsacker Bio 2020";"Die Trauben für den Seckinger Riesling Gottsacker stammen eigentlich vom Deidesheimer Herrgottsac...";"";"19,00";"";"";"4260590575050";"8247018";"Seckinger";"";"https://images.vinocentral.de/media/image/74/d4/65/bild_seckinger_riesling_gottsacker_bio_2020_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 25,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fseckinger-riesling-ruppersberg-reiterpfad-2019%3Fnumber%3D8247019";"Seckinger Riesling Ruppersberg Reiterpfad Bio 2019";"Nur noch wenige Flaschen verfügbar.";"";"25,00";"";"";"";"8247019";"Seckinger";"";"https://images.vinocentral.de/media/image/4b/97/d2/bild_seckinger_riesling_ruppersberg_reiterpfad_2019_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 33,33";"0.75 l"
"https://t.adcell.com/p/click?promoId=162466&slotId=101178&param0=https%3A%2F%2Fwww.vinocentral.de%2Fseckinger-riesling-deidesheim-petershoehle-2019%3Fnumber%3D8247020";"Seckinger Riesling Deidesheim Petershöhle Bio 2019";"Nur noch wenige Flaschen verfügbar.";"";"35,00";"";"";"4260590575241";"8247020";"Seckinger";"";"https://images.vinocentral.de/media/image/e9/f5/b5/bild_seckinger_riesling_deidesheim_petershoehle_2019_1280x1280.jpg";"";"Weine>Weißweine";"6,90";"6,90";"";"";"";"";"";"";"1-2 Werktage";"";"";"";"1 l = 46,67";"0.75 l"
